ano,mes,data,regiao,uf,setor_consumo,consumo_mwh,demanda_pico,temperatura_media,tarifa_media,populacao,eficiencia_energetica,emissao_co2,nivel_demanda
2015,1,2015-01-01,Norte,AM,Residencial,7684.77,3178.13,24.3,0.55,2250552,46.62,53279.77,Crítico
2015,1,2015-01-01,Norte,PA,Industrial,71916.97,1068.5,26.4,0.77,1798475,68.0,35032.42,Médio
2015,1,2015-01-01,Norte,PA,Industrial,43309.99,17894.03,28.3,0.82,2796992,62.74,28792.52,Alto
2015,1,2015-01-01,Norte,RO,Público,13481.31,5769.72,29.5,1.04,4489483,84.33,48501.26,Médio
2015,1,2015-01-01,Norte,TO,Público,28250.05,2522.5,21.8,0.66,5179949,91.22,14460.94,Baixo
2015,1,2015-01-01,Nordeste,BA,Residencial,42209.63,18736.28,22.7,0.97,4599843,75.45,1223.47,Crítico
2015,1,2015-01-01,Nordeste,BA,Rural,3837.68,5083.91,29.1,0.76,4006435,67.04,71762.28,Baixo
2015,1,2015-01-01,Nordeste,PE,Industrial,24566.0,12936.55,28.7,0.88,786230,73.04,44237.2,Baixo
2015,1,2015-01-01,Nordeste,PE,Industrial,13172.75,1072.6,33.1,1.06,3757725,56.95,71625.5,Alto
2015,1,2015-01-01,Nordeste,CE,Rural,53898.47,6237.31,32.1,0.63,2072437,82.35,21787.76,Médio
2015,1,2015-01-01,Nordeste,CE,Comercial,7747.26,6307.29,17.8,0.79,1934789,65.01,46132.29,Alto
2015,1,2015-01-01,Nordeste,MA,Comercial,227159.64,474.0,19.7,0.84,5314657,91.14,45016.06,Alto
2015,1,2015-01-01,Nordeste,PB,Industrial,21419.59,12168.75,25.5,1.13,3768202,65.5,68887.39,Baixo
2015,1,2015-01-01,Centro-Oeste,DF,Rural,28732.26,2608.73,22.5,0.94,570344,92.14,27670.36,Médio
2015,1,2015-01-01,Centro-Oeste,GO,Industrial,7817.79,2057.9,24.2,0.67,1322822,89.25,71336.57,Médio
2015,1,2015-01-01,Centro-Oeste,GO,Rural,125101.36,3781.81,29.9,0.88,1799151,89.13,58262.62,Alto
2015,1,2015-01-01,Centro-Oeste,MT,Industrial,123517.05,1421.26,20.9,0.72,1824921,69.05,68902.37,Alto
2015,1,2015-01-01,Centro-Oeste,MS,Comercial,61057.17,8066.44,22.0,0.99,3259447,84.03,23979.11,Baixo
2015,1,2015-01-01,Sudeste,SP,Rural,3026.59,5541.79,20.8,1.11,1568230,94.48,64945.02,Baixo
2015,1,2015-01-01,Sudeste,SP,Rural,25225.91,1738.56,21.5,0.59,2402072,57.27,42900.68,Alto
2015,1,2015-01-01,Sudeste,SP,Industrial,18831.95,566.78,23.4,0.65,3725023,75.43,44461.15,Baixo
2015,1,2015-01-01,Sudeste,RJ,Residencial,12833.15,704.71,28.4,1.05,5946876,56.26,40918.57,Médio
2015,1,2015-01-01,Sudeste,RJ,Público,34619.85,9467.8,26.3,0.69,3370442,85.52,43851.76,Alto
2015,1,2015-01-01,Sudeste,RJ,Público,155727.88,197.35,23.8,0.95,2787933,48.93,41985.41,Baixo
2015,1,2015-01-01,Sudeste,RJ,Comercial,30988.19,368.3,33.0,0.59,1043761,53.59,43283.13,Médio
2015,1,2015-01-01,Sudeste,MG,Industrial,15482.41,2432.62,26.1,1.13,5240109,50.72,30758.13,Médio
2015,1,2015-01-01,Sudeste,MG,Rural,17220.62,37695.52,24.7,0.87,3501027,81.34,26445.46,Alto
2015,1,2015-01-01,Sudeste,MG,Industrial,16858.17,3479.78,34.1,1.04,978697,71.01,20750.37,Crítico
2015,1,2015-01-01,Sudeste,ES,Industrial,12703.45,2380.9,27.0,0.88,2711205,88.61,6253.31,Médio
2015,1,2015-01-01,Sudeste,ES,Rural,30681.56,482.52,19.1,0.82,4469471,91.19,43963.24,Alto
2015,1,2015-01-01,Sudeste,ES,Residencial,4076.62,4711.03,20.4,0.63,5192047,69.98,52305.33,Médio
2015,1,2015-01-01,Sul,PR,Rural,18285.03,6439.73,32.4,1.09,393920,59.06,74942.66,Alto
2015,1,2015-01-01,Sul,PR,Comercial,28753.33,5209.9,21.7,0.99,658048,58.61,39851.81,Médio
2015,1,2015-01-01,Sul,SC,Público,10177.64,5242.2,22.4,0.8,206488,56.55,14082.38,Baixo
2015,1,2015-01-01,Sul,SC,Rural,28365.23,6046.09,29.9,0.86,580353,48.35,73254.37,Crítico
2015,1,2015-01-01,Sul,RS,Público,15784.37,4952.65,20.4,1.0,2155706,60.13,40630.72,Crítico
2015,1,2015-01-01,Sul,RS,Rural,18278.48,2116.67,36.1,0.83,4675551,87.49,30893.99,Médio
2015,2,2015-02-01,Norte,AM,Industrial,60770.39,1442.95,33.5,0.58,2741812,78.28,3446.56,Alto
2015,2,2015-02-01,Norte,PA,Industrial,27246.76,1993.68,28.6,0.62,1525896,85.84,30470.67,Baixo
2015,2,2015-02-01,Norte,PA,Comercial,65480.95,17202.37,29.0,0.96,4655780,85.11,78650.23,Médio
2015,2,2015-02-01,Norte,RO,Industrial,5480.31,2135.55,28.9,0.8,5060067,48.81,39018.24,Baixo
2015,2,2015-02-01,Norte,TO,Público,13064.74,2909.94,22.2,0.56,1218474,87.97,35565.75,Alto
2015,2,2015-02-01,Nordeste,BA,Industrial,17884.99,6926.86,17.0,0.57,451740,56.02,25834.9,Alto
